Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1646042022,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1646042023,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1646042024,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1646042025,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1646042026,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1646042029,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1646042030,2,,Aggregated,0.000000,0.000000,87,93,94,94,96,100,100,100,100,100,100,11,0,87,88.34230081827792,72.94438800090575,102.58425700158114,66590.0
1646042031,3,,Aggregated,0.000000,0.000000,100,160,170,170,170,170,170,170,170,170,170,23,0,100.0,125.7652253041907,72.94438800090575,173.5209729995404,66590.0
1646042032,4,,Aggregated,1.000000,0.000000,150,170,170,180,190,200,210,210,210,210,210,42,0,130.0,135.87889857150176,72.94438800090575,206.99241400143364,66590.0
1646042033,5,,Aggregated,3.000000,0.000000,120,170,180,180,200,210,210,230,230,230,230,71,0,120.0,136.71673443676693,72.94438800090575,230.7536220032489,66590.0
1646042034,6,,Aggregated,5.000000,0.000000,150,180,190,200,210,230,240,240,240,240,240,98,0,140.0,147.91101685722776,72.94438800090575,244.84030399980838,66590.0
1646042035,7,,Aggregated,7.571429,0.000000,170,190,210,220,240,280,320,320,350,350,350,125,0,170.0,162.14020219212398,72.94438800090575,349.97189400019124,66590.0
1646042036,8,,Aggregated,10.000000,0.000000,170,200,210,230,280,350,440,470,480,480,480,152,0,170.0,176.6165453159374,72.94438800090575,478.1007530000352,66590.0
1646042037,9,,Aggregated,12.000000,0.000000,190,210,230,240,320,440,470,480,480,480,480,179,0,190.0,193.71002473197822,72.94438800090575,478.1007530000352,66590.0
